"id","DoE","Expenditure_name","Voteline","FundSource","PV_No","Amount"
"9","2020-12-19","Van Service Labour","10","Tution","0","1600.00"
"10","2020-12-21","Van Service Labour","10","CapitalInjection","0","2500.00"
"11","2020-12-21","Spare parts for service","10","CapitalInjection","0","4500.00"
"12","2020-12-22","Van Service Labour","10","CapitalInjection","0","2000.00"
"13","2020-12-20","Fence Construntion","8","Donation","0","2000.00"
"14","2020-12-21","Fence Construntion","8","Donation","0","2200.00"
"15","2020-12-22","Fence Construntion","8","Donation","0","1800.00"
"16","2020-12-22","Electricity repair and maintenance","8","CapitalInjection","0","3000.00"
"17","2020-12-22","KBG Fuel","10","CapitalInjection","0","1960.00"
"18","2020-12-22","KBZ fuel","10","CapitalInjection","0","2160.00"
"19","2020-12-22","Gate repair","8","CapitalInjection","0","6100.00"
"20","2020-12-21","Web Hosting Charges","14","CapitalInjection","0","1500.00"
"21","2020-12-19","Spare parts for service","10","CapitalInjection","0","17060.00"
"22","2020-12-23","cement, black oxide, binding  and Debt for dhardwahre","8","Donation","0","2100.00"
"23","2020-12-23","labourers","8","Donation","0","5080.00"
"24","2020-12-23","plumber","8","Donation","0","1050.00"
"25","2020-12-07","ECDE chairs (25 in number)","9","CapitalInjection","0","15000.00"
"26","2020-12-10","Battery for school vans KBG  and KBZ","10","CapitalInjection","0","13000.00"
"27","2020-12-24","Gate repair - welder","8","Donation","0","2000.00"
"28","2020-12-24","Fence Construction - labour","8","Donation","0","1400.00"
"29","2020-12-24","Hind Verandah repair - labour","8","Donation","0","2200.00"
"30","2020-12-24","Cement for construction","8","Donation","0","3900.00"
"31","2020-10-11","Sanitizer","5","Loan","0","500.00"
"32","2020-10-11","Mask 1 box","5","Loan","0","500.00"
"36","2020-10-11","Hand Washing Soap","5","Loan","0","525.00"
"37","2020-10-11","Cooking Oil 10 litres","6","Loan","0","1350.00"
"38","2020-10-11","Modem Bundle","14","Loan","0","1000.00"
"39","2020-10-11","Fundi - Van Wiring","10","Loan","0","3500.00"
"40","2020-10-11","Mechanic service","10","Loan","0","500.00"
"41","2020-10-11","Insurance KBG","10","Loan","0","5000.00"
"42","2020-10-11","Beans 5 tins","6","Loan","0","1250.00"
"43","2020-10-11","Green grams","6","Loan","0","1250.00"
"44","2020-10-11","maize 8 tins","6","Loan","0","640.00"
"45","2020-10-11","Kusaga","6","Loan","0","110.00"
"46","2020-10-11","Tomatoes","6","Loan","0","200.00"
"47","2020-10-11","Onions","6","Loan","0","100.00"
"48","2020-10-11","Milk 2 boxes","6","Loan","0","1000.00"
"49","2020-10-11","Sugar","6","Loan","0","1140.00"
"50","2020-10-11","Van Spare Parts","10","Loan","0","200.00"
"51","2020-10-11","Themo gun","5","Loan","0","5500.00"
"52","2020-10-12","Rice 25 kg","6","Lunch","0","1900.00"
"53","2020-10-14","Maize","6","Lunch","0","80.00"
"54","2020-10-14","Head teacher","15","Tution","0","500.00"
"55","2020-10-15","Brooms","5","Tution","0","50.00"
"56","2020-10-15","Cabbage","17","Lunch","0","50.00"
"57","2020-10-16","Text books for mathematics","7","BookLvy","0","1000.00"
"58","2020-10-19","Vegetable","6","Lunch","0","140.00"
"59","2020-10-19","panture repair","10","Transport","0","100.00"
"60","2020-10-19","Break Fliuds","10","Transport","0","300.00"
"61","2020-10-21","Bushes - KBG","10","Transport","0","400.00"
"62","2020-10-23","Fuel -KBG","10","Transport","0","2300.00"
"63","2020-10-23","Tomatoes","6","Lunch","0","200.00"
"64","2020-10-23","Onions","6","Lunch","0","100.00"
