"id","ReceiptNo","DOP","ClassRegisterID","Admission","Tuition","Transport","Uniform","Lunch","Exams","BookLvy","Activity","OtheLvy"
"1","6598","2020-10-19","41","0.00","1900.00","900.00","0.00","0.00","0.00","200.00","0.00","0.00"
"2","6597","2020-10-14","37","0.00","2000.00","0.00","0.00","600.00","100.00","200.00","100.00","0.00"
"3","6599","2020-10-19","33","0.00","400.00","0.00","0.00","600.00","0.00","0.00","0.00","0.00"
"4","6596","2020-10-14","35","0.00","3000.00","3300.00","700.00","1800.00","100.00","200.00","100.00","0.00"
"5","6600","2020-10-19","43","0.00","1650.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"6","6602","2020-10-19","36","0.00","1700.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"7","6603","2020-10-19","28","0.00","1800.00","0.00","0.00","0.00","0.00","200.00","0.00","0.00"
"8","6604","2020-10-21","42","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"9","6605","2020-10-21","34","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"10","6606","2020-10-22","30","0.00","1400.00","900.00","0.00","600.00","300.00","200.00","100.00","0.00"
"11","6607","2020-10-26","43","0.00","3000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"12","6608","2020-10-26","36","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13","6609","2020-10-26","58","0.00","900.00","0.00","0.00","0.00","300.00","200.00","100.00","0.00"
"14","6610","2020-10-26","38","0.00","0.00","0.00","0.00","600.00","300.00","0.00","100.00","0.00"
"15","6611","2020-10-26","44","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16","6612","2020-10-27","31","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"17","6613","2020-10-27","32","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18","6614","2020-10-28","40","0.00","400.00","0.00","0.00","0.00","300.00","200.00","100.00","0.00"
"19","6615","2020-11-04","36","0.00","400.00","600.00","0.00","0.00","0.00","0.00","0.00","0.00"
"21","6616","2020-11-04","32","0.00","900.00","600.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22","6617","2020-11-04","31","0.00","900.00","600.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23","6618","2020-11-05","34","0.00","2600.00","1600.00","0.00","1200.00","300.00","200.00","100.00","0.00"
"24","6619","2020-11-06","29","0.00","400.00","0.00","0.00","0.00","300.00","200.00","100.00","0.00"
"25","6620","2020-11-09","43","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26","6621","2020-11-09","42","0.00","400.00","0.00","0.00","0.00","300.00","200.00","100.00","0.00"
"27","6622","2020-11-10","39","0.00","2000.00","700.00","0.00","1200.00","300.00","200.00","100.00","0.00"
"28","6623","2020-11-11","33","0.00","400.00","0.00","0.00","0.00","300.00","200.00","100.00","0.00"
"29","6624","2020-11-13","40","0.00","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"30","6625","2020-11-16","36","0.00","0.00","500.00","0.00","0.00","300.00","200.00","0.00","0.00"
"31","6626","2020-11-16","38","0.00","2800.00","0.00","0.00","1200.00","0.00","200.00","0.00","0.00"
"32","6627","2020-11-16","44","0.00","1450.00","1350.00","0.00","600.00","300.00","200.00","100.00","0.00"
"33","6628","2020-11-16","28","0.00","600.00","1800.00","0.00","1200.00","300.00","0.00","100.00","0.00"
"34","6629","2020-12-17","41","0.00","500.00","900.00","0.00","1200.00","300.00","0.00","100.00","0.00"
"35","6630","2020-11-23","36","0.00","300.00","0.00","0.00","600.00","0.00","0.00","100.00","0.00"
"36","6631","2020-11-23","31","0.00","0.00","300.00","0.00","100.00","300.00","200.00","100.00","0.00"
"37","6632","2020-11-23","32","0.00","0.00","300.00","0.00","100.00","300.00","200.00","100.00","0.00"
"38","6633","2020-11-23","58","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"39","6634","2020-11-30","43","0.00","300.00","500.00","0.00","600.00","300.00","200.00","100.00","0.00"
"40","6635","2020-11-30","37","0.00","200.00","0.00","0.00","600.00","200.00","0.00","0.00","0.00"
"41","6636","2020-11-30","42","0.00","800.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"42","6637","2020-12-01","29","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"43","6638","2020-12-01","30","0.00","1200.00","900.00","0.00","600.00","0.00","0.00","0.00","0.00"
"44","6639","2020-12-01","28","0.00","1500.00","900.00","0.00","600.00","0.00","0.00","0.00","0.00"
"45","6640","2020-12-03","33","0.00","600.00","0.00","0.00","400.00","0.00","0.00","0.00","0.00"
"46","6641","2020-12-07","36","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"47","6643","2020-12-07","40","0.00","600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"48","6644","2020-12-09","34","0.00","1900.00","800.00","700.00","600.00","0.00","0.00","0.00","0.00"
"49","6645","2020-12-14","36","0.00","0.00","1000.00","0.00","0.00","0.00","0.00","0.00","0.00"
"50","6646","2020-12-14","58","0.00","1100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"51","6647","2020-12-14","41","0.00","1500.00","900.00","0.00","600.00","0.00","0.00","0.00","0.00"
"52","6648","2020-12-14","37","0.00","400.00","0.00","0.00","600.00","0.00","0.00","0.00","0.00"
