"id","Receipt_No","Date","IncomeDesc","IncomeType","Amount"
"1",,"2020-12-02","Money to buy Van batteries","Capital injection","13000.00"
"2",,"2020-12-07","Making new chairs","Capital injection","15000.00"
"3",,"2020-01-03","Harambee","Gifts and fundraising","58000.00"
"4",,"2020-12-18","Construction and Vans repair","Capital injection","36780.00"
"6",,"2020-11-30","Money used to pay to security guard","Capital injection","6500.00"
"7",,"2020-08-21","Money used for constructions o","Capital injection","850000.00"
"8",,"2020-12-24","Money used for constructions","Donation","23730.00"
"9",,"2020-10-12","Loan from UFN","Loan","33000.00"
"10",,"2021-01-03","Lunch","Daily_Lunch","100.00"
"11",,"2021-01-04","Lunch","Daily_Lunch","190.00"
"12",,"2021-01-05","Lunch","Daily_Lunch","755.00"
"13",,"2021-01-05","Diaries","Others","100.00"
"14",,"2021-01-06","Lunch","Daily_Lunch","410.00"
"15",,"2021-01-06","Diaries","Others","100.00"
"16",,"2021-01-07","Lunch","Daily_Lunch","515.00"
"17",,"2021-01-07","Diaries","Others","100.00"
"18",,"2021-01-08","Daily Lunch","Daily_Lunch","430.00"
"19",,"2021-01-11","Daily Lunch","Daily_Lunch","560.00"
"20",,"2021-01-12","Daily Lunch","Daily_Lunch","1030.00"
"21",,"2021-01-13","Daily Lunch","Daily_Lunch","450.00"
"22",,"2021-01-14","Daily Lunch","Daily_Lunch","380.00"
"23",,"2021-01-15","Daily Lunch","Daily_Lunch","480.00"
"24",,"2021-01-18","Daily Lunch","Daily_Lunch","900.00"
"25",,"2021-01-19","Daily Lunch","Daily_Lunch","890.00"
"26",,"2021-01-20","Lunch","Daily_Lunch","350.00"
"27",,"2021-01-21","Lunch","Daily_Lunch","360.00"
"28",,"2021-01-22","Lunch","Daily_Lunch","450.00"
"29",,"2021-01-25","Lunch","Daily_Lunch","1130.00"
"30",,"2021-01-20","Diaries","Others","50.00"
"31",,"2021-01-22","Diaries","Others","50.00"
"32",,"2021-01-14","Diaries","Others","150.00"
"33",,"2021-01-13","Diaries","Others","100.00"
"34",,"2021-01-11","Diaries","Others","250.00"
"35",,"2021-01-08","Diaries","Others","250.00"
"36",,"2020-12-18","Income from Director","Capital injection","18000.00"
"37",,"2021-02-11","Masks","Others","100.00"
"38",,"2021-02-12","Diaries","Others","200.00"
"39",,"2021-02-01","Diaries","Others","50.00"
"40",,"2021-02-03","Diaries","Others","50.00"
"41",,"2021-02-02","Diaries","Others","100.00"
"42",,"2021-02-08","Diaries","Others","50.00"
"43",,"2021-02-09","Diaries","Others","100.00"
"44",,"2021-02-25","Diary","Others","50.00"
"45",,"2021-02-25","File","Others","50.00"
"46",,"2021-02-23","Diary","Others","50.00"
"47",,"2021-02-25","Mask","Others","0.00"
"48",,"2021-02-26","Mask","Others","50.00"
"49",,"2021-03-01","Lunch","Daily_Lunch","1595.00"
"50",,"2021-03-21","Loan From KCB of 12000 clearing up the previous loans","Others","848007.00"
"51",,"2021-03-02","Lunch","Daily_Lunch","930.00"
"52",,"2021-03-03","Lunch","Daily_Lunch","480.00"
"53",,"2021-03-04","Lunch","Daily_Lunch","630.00"
"54",,"2021-03-05","Lunch","Daily_Lunch","560.00"
"55",,"2021-03-08","Lunch","Daily_Lunch","1470.00"
"56",,"2021-03-09","Lunch","Daily_Lunch","710.00"
"57",,"2021-03-10","Lunch","Daily_Lunch","800.00"
"58",,"2021-03-11","Lunch","Daily_Lunch","610.00"
"59",,"2021-03-12","Lunch","Daily_Lunch","460.00"
"60",,"2021-03-15","Lunch","Daily_Lunch","580.00"
"61",,"2021-03-16","Lunch","Daily_Lunch","850.00"
"62",,"2021-03-17","Lunch","Daily_Lunch","370.00"
"63",,"2021-03-18","Lunch","Daily_Lunch","300.00"
"64",,"2021-03-22","Lunch","Daily_Lunch","20.00"
"66","7671","2021-05-11","Daily Lunch collection","Daily_Lunch","600.00"
"71","7731","2021-05-19","Lunch","Daily_Lunch","440.00"
"72","7730","2021-05-18","Lunch","Daily_Lunch","1020.00"
"73","7729","2021-05-17","Lunch","Daily_Lunch","960.00"
"74","7672","2021-05-12","Lunch","Daily_Lunch","650.00"
"75","7675","2021-05-11","Mask","Daily_Lunch","100.00"
"76","7750","2021-05-21","Lunch","Daily_Lunch","290.00"
"77","7751","2021-05-21","Diaries","Others","150.00"
"78","7775","2021-05-24","Lunch","Daily_Lunch","900.00"
"79","7804","2021-05-25","Lunch","Daily_Lunch","880.00"
"80","7809","2021-05-26","Lunch","Daily_Lunch","250.00"
"81","7673","2021-05-13","Lunch","Daily_Lunch","360.00"
"82","7732","2021-05-20","Lunch","Daily_Lunch","290.00"
"83","7814","2021-05-27","Lunch","Daily_Lunch","510.00"
"84","7825","2021-05-28","Diaries","Others","300.00"
"85","7826","2021-05-28","Mask","Others","50.00"
"86","7827","2021-05-28","Lunch","Daily_Lunch","450.00"
"87","7851","2021-06-02","Lunch","Daily_Lunch","580.00"
"88","7852","2021-06-02","Masks","Others","40.00"
"89","7853","2021-06-02","Diaries","Others","100.00"
"90","7734","2021-06-08","Lunch","Daily_Lunch","1070.00"
"91","7935","2021-06-10","Lunch","Daily_Lunch","640.00"
"92","7943","2021-06-13","Refund for PV 22","Others","1000.00"
"93","7971","2021-06-11","Lunch","Daily_Lunch","330.00"
"94","7972","2021-06-14","Lunch","Daily_Lunch","840.00"
"95","7974","2021-06-15","Lunch","Daily_Lunch","860.00"
"96","7992","2021-06-16","Lunch","Daily_Lunch","500.00"
"97","8008","2021-06-18","Lunch","Daily_Lunch","300.00"
