"id","ClassRegisterID","Bal_bf","Uniform","uniform_no","Transport","Transport_months","Lunch","Lunch_months","OtherLevyIndv"
"1","27","10050.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"2","28","1800.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"5","29","400.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"6","30","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"7","31","1500.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"8","32","1500.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"10","34","2600.00","0.00","700.00","800.00","3.00","600.00","3.00","0.00"
"11","35","0.00","700.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"12","36","3100.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"13","37","0.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"14","38","0.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"15","39","2000.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"16","40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"17","41","1900.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"18","42","3600.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19","43","7700.00","0.00","0.00","900.00","1.50","600.00","3.00","0.00"
"20","44","3250.00","0.00","0.00","1350.00","3.00","600.00","3.00","0.00"
"22","58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23","59","3300.00","0.00","700.00","900.00","3.00","600.00","3.00","0.00"
"24","60","0.00","0.00","0.00","0.00","0.00","600.00","3.00","600.00"
"25","62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3300.00"
"26","63","3150.00","0.00","0.00","1100.00","3.00","600.00","3.00","600.00"
"27","64","9300.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"28","65","3950.00","0.00","0.00","800.00","3.00","600.00","3.00","0.00"
"29","66","2900.00","0.00","0.00","900.00","3.00","600.00","3.00","600.00"
"30","67","2600.00","0.00","0.00","800.00","3.00","600.00","3.00","600.00"
"32","69","0.00","0.00","0.00","900.00","1.50","0.00","0.00","-1650.00"
"33","70","4650.00","0.00","1500.00","900.00","3.00","600.00","3.00","600.00"
"34","71","1400.00","0.00","0.00","0.00","0.00","0.00","0.00","600.00"
"35","72","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3300.00"
"36","73","200.00","0.00","0.00","900.00","3.00","600.00","3.00","600.00"
"37","74","900.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"38","75","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","600.00"
