"id","Cat_id","Bk_Detail_Code","Book_Title","Aurthor","Publisher","Class","Category"
"1","9","1","Understanding Mathematics Pupils Bk2","N.Shelomith, J. Kihara & S. Ong'uti","Longhorn Publisher","Class_2","Primary"
"2","6","1","Nursery Aid Book 2","M.S Patel","Jyoti Bindu Publication Ltd","Baby","Nursery"
"3","15","1","Primary CRE Pupils Bk 1, Pupils Book New Edition","Kenya Literature Bureau","Kenya Literature Bureau","Class_1","Primary"
"4","6","2","New Primary English Pupils Bk 1","The Jomo Kenya Foundation","The Jomo Kenya Foundation","Class_1","Primary"
"5","6","3","English Aid Bk 1","M.S Patel","Jyoti Bindu Publication Ltd","Class_1","Primary"
"6","9","2","Primary mathematics New Edition Pupils Bk1","The Jomo Kenyata Foundation","The Jomo Kenyata Foundation","Class_1","Primary"
"8","6","4","English Aid With Test Papers Class 1","M.S Patel","Jyoti Bindu Publication Ltd","Class_1","Primary"
"9","15","2","BreakThrough Workbook CRE Bk2","P.Ndichu, Rahab Wanjiku &R. Mwangi","Moran Publishers","Class_1","Primary"
"10","6","5","Easy English Readers Bk 3- God has Hands","David McKay & Robin Dunn","Friend Learning Resources","Class_1","Primary"
"11","6","6","Easy English Readers BK A Brother Rabit","David McKay","Friend Learning Resources","Class_1","Primary"
"12","9","3","Nursery Learning Mathematics","Mary Ndungu","English Press Ltd","Middle","Nursery"
"13","10","1","Early Chldhood development and Education Syllabus","Kenya Institute of Education","Kenya Institute of Education","Baby","Nursery"
"14","6","7","Easy English Readers Bk 1 Ten Men in a tin","David McKay and Kevin McKay","Friend Learning Resources","Class_1","Primary"
"15","14","1","Point Score Revision Booklet","Point Score","Point Score","Class_1","Primary"
"16","6","8","exercise for std 2 English","Regina Kinyua","Kenya Litho Ltd","Class_2","Primary"
"17","9","4","Learning Mathematics Bk 2","S.K Patel & N.M Patel","Mwalimu Publication","Class_2","Primary"
"19","18","1","Comprehensive Social Studies Bk 2","John Kanjoya & Paul Ogula","Longhorn","Class_2","Primary"
