"Job_ID","Title","Description"
"1","Director","The Position is held by the either of the proprietors of the school"
"2","Manger","Can be one of the proprietor or appointee"
"3","Head Teacher","Head of Academics "
"4","Deputy Head Teacher","He is the assistant head of Academics "
"5","Teacher","Teacher"
"6","Diver","Driver"
"7","Secretary","Secretary"
"8","Programmer","System Administrator"
"9","Cook","Cook"
"10","Mechanic","Mechanic"
"13","Accountant","This position is appointed o9n request only"
"14","Guard","This may include night or day security guard"
"15","Tailor","In charge of Uniforms"
